STUDYID,DOMAIN,RDOMAIN,USUBJID,PUID,COHORT,SUBJID,POOLID,COSEQ,IDVAR,IDVARVAL,COREF,COVAL,COEVAL,CODTC,CODY
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0031,LBSEQ,7.0088;7.0089,,Groin 7x5,KS,2012-06-14,191
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0032,LBSEQ,7.0090;7.0091,,Groin 6x45,EJ,2012-06-18,195
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0033,LBSEQ,7.0092;7.0093,,Groin 6x45,EJ,2012-06-21,198
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0034,LBSEQ,7.0094;7.0095,,"Groin 75x50, snout abscess",KS,2012-06-25,202
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0035,LBSEQ,7.0096;7.0097,,"Groin 75x65, snout abscess",KS,2012-06-28,205
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0036,LBSEQ,7.0098;7.0099,,"Groin 8x6, snout abscess",EJ,2012-07-02,209
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0037,LBSEQ,7.0100;7.0101,,"Groin 8x6, snout abscess, killed, end of experiment",EJ,2012-07-05,212
Xeno Nimo Hypox;FaDu,CO,,N150a029,N150,a,29,,3.0,LBSEQ,7.0048;7.0049,,general health state,EJ,2012-03-26,111
Xeno Nimo Hypox;FaDu,CO,,N150a029,N150,a,29,,3.0001,LBSEQ,7.0050;7.0051,,general health state,EJ,2012-03-29,114
Xeno Nimo Hypox;FaDu,CO,,N150a029,N150,a,29,,3.0002,LBSEQ,7.0056;7.0057,,dead in cage,EJ,2012-04-10,126
Xeno Nimo Hypox;FaDu,CO,,N150a030,N150,a,30,,3.0,LBSEQ,7.0010;7.0011,,Scab on tumor,EJ,2012-01-09,34
